K,ROUGE-L,BLEU,BERTScore-F1,Citation-Acc,Recall@K,Hallucination(unans)
1,0.5390478338048207,0.35636364595800324,0.800179123878479,0.8761904761904762,0.9904761904761905,0.7333333333333333
3,0.5434483300554057,0.34997270692303917,0.797390878200531,0.8666666666666667,1.0,0.8
5,0.5326467363685022,0.3279844259678557,0.7954533100128174,0.8761904761904762,1.0,0.7777777777777778
10,0.5615757694947614,0.3652577108774732,0.8121789693832397,0.8571428571428571,1.0,0.8
