K,ROUGE-L,BLEU,BERTScore-F1,Citation-Acc,Recall@K,Hallucination(unans)
1,0.45909409703859216,0.23250731582931627,0.7764019966125488,0.8666666666666667,0.8952380952380953,0.5555555555555556
3,0.46560015989194997,0.26440581585947753,0.7824415564537048,0.8285714285714286,0.9714285714285714,0.6
5,0.46264992562962093,0.31125470266339533,0.7789819836616516,0.8285714285714286,0.9904761904761905,0.6
10,0.4696666365681537,0.3453861336316514,0.7844288945198059,0.7619047619047619,0.9904761904761905,0.6222222222222222
